,CB Link ID,Borough,Latitude,Longitude,Project Status,Active_date,Install_date,neighborhood,Census Tract (CT),IxN Corner,Location,year
0,LINK-000491,Manhattan,40.763051,-73.98583,Live,2016-10-26,2016-10-15,Clinton,1013300.0,NW,"(40.76305136, -73.98583017)",2016
1,LINK-012865,Manhattan,40.759234,-73.965504,Live,2018-06-12,2018-04-07,Turtle Bay-East Midtown,1010800.0,SW,"(40.75923366, -73.96550379)",2018
2,LINK-001486,Manhattan,40.790235,-73.974793,Live,2017-10-25,2017-09-10,Upper West Side,1017500.0,NE,"(40.790235, -73.974793)",2017
4,LINK-000220,Manhattan,40.739336,-73.995264,Live,2018-04-04,2018-02-04,Hudson Yards-Chelsea-Flatiron-Union Square,1005400.0,NE,"(40.73933558, -73.99526424)",2018
5,LINK-014492,Bronx,40.817235,-73.915829,Live,2016-12-22,2016-10-22,Melrose South-Mott Haven North,2007100.0,NE,"(40.817235, -73.91582926)",2016
6,LINK-011000,Manhattan,40.736639,-73.993282,Live,2018-04-04,2017-09-30,Hudson Yards-Chelsea-Flatiron-Union Square,1005400.0,SW,"(40.73663894, -73.99328247)",2017
7,LINK-000010,Brooklyn,40.698956,-73.938932,Live,2018-09-06,2018-04-10,Bushwick South,3028501.0,SW,"(40.69895576, -73.93893235)",2018
8,LINK-000898,Manhattan,40.790862,-73.945348,Live,2016-06-15,2016-05-21,East Harlem South,1016600.0,SW,"(40.790862, -73.945348)",2016
9,LINK-000457,Manhattan,40.742689,-74.000238,Live,2017-05-30,2017-04-30,Hudson Yards-Chelsea-Flatiron-Union Square,1008700.0,SE,"(40.742689, -74.000238)",2017
10,LINK-021517,Brooklyn,40.666539,-73.988378,Live,2017-08-22,2017-07-20,Park Slope-Gowanus,3014100.0,SE,"(40.66653858, -73.98837832)",2017
11,LINK-010993,Queens,40.746966,-73.889705,Live,2017-08-30,2017-07-08,Elmhurst,4026700.0,SW,"(40.74696638, -73.88970545)",2017
12,LINK-018402,Bronx,40.868698,-73.902101,Live,2017-08-01,2017-06-10,Van Cortlandt Village,2026701.0,NE,"(40.86869849, -73.9021009)",2017
13,LINK-012887,Queens,40.763553,-73.928514,Live,2017-05-23,2017-04-22,Astoria,4007500.0,NW,"(40.76355288, -73.92851391)",2017
14,LINK-012761,Manhattan,40.822902,-73.938365,Live,2017-09-21,2017-08-19,Central Harlem North-Polo Grounds,1023400.0,SW,"(40.82290225, -73.93836455)",2017
15,LINK-000804,Queens,40.704609,-73.796801,Live,2016-09-23,2016-08-27,Jamaica,4044601.0,SE,"(40.70460911, -73.79680056)",2016
16,LINK-006880,Queens,40.71796,-73.836805,Live,2017-04-18,2017-03-11,Forest Hills,4076901.0,SE,"(40.71796031, -73.83680527)",2017
17,LINK-013527,Queens,40.76516,-73.931428,Live,2017-05-17,2017-03-25,Astoria,4007700.0,NE,"(40.76516019, -73.93142777)",2017
18,LINK-003315,Manhattan,40.761142,-73.98309,Live,2017-04-14,2017-02-11,Midtown-Midtown South,1013100.0,NE,"(40.76114197, -73.98309028)",2017
19,LINK-012888,Queens,40.762464,-73.926262,Live,2017-05-17,2017-03-25,Astoria,4007500.0,NW,"(40.762464, -73.926262)",2017
20,LINK-021395,Queens,40.695913,-73.83881,Live,2017-08-14,2017-07-15,Richmond Hill,4012800.0,NW,"(40.69591252, -73.83880988)",2017
21,LINK-001545,Manhattan,40.796425,-73.970279,Live,2017-08-18,2017-07-07,Upper West Side,1018700.0,SE,"(40.79642525, -73.97027901)",2017
22,LINK-013956,Manhattan,40.732391,-73.991387,Live,2016-11-10,2016-10-15,West Village,1006100.0,SW,"(40.73239147, -73.99138693)",2016
23,LINK-000780,Queens,40.701827,-73.807661,Live,2016-09-23,2016-08-27,Jamaica,4024000.0,NE,"(40.701827, -73.807661)",2016
25,LINK-001049,Brooklyn,40.653711,-74.005258,Live,2017-06-09,2017-04-28,Sunset Park West,3008400.0,SW,"(40.65371111, -74.00525819)",2017
26,LINK-014420,Manhattan,40.73797,-73.988584,Live,2018-02-07,2017-11-18,Hudson Yards-Chelsea-Flatiron-Union Square,1005200.0,MIDBLOCK,"(40.73796976, -73.9885843)",2017
27,LINK-018391,Bronx,40.835133,-73.919797,Live,2017-07-20,2017-06-10,West Concourse,2019700.0,MIDBLOCK,"(40.83513298, -73.91979703)",2017
29,LINK-012572,Manhattan,40.743659,-73.976843,Live,2019-01-18,2017-10-20,Murray Hill-Kips Bay,1007000.0,NW,"(40.74365854, -73.97684323)",2017
30,LINK-000969,Manhattan,40.783373,-73.980123,Live,2018-01-03,2017-09-10,Upper West Side,1016700.0,S,"(40.783373, -73.980123)",2017
31,LINK-005407,Staten Island,40.563843,-74.116075,Live,2017-02-28,2016-12-20,Oakwood-Oakwood Beach,5012806.0,NE,"(40.563843, -74.116075)",2016
32,LINK-000936,Manhattan,40.77601,-73.981963,Live,2016-12-14,2016-09-22,Lincoln Square,1015300.0,SE,"(40.77600984, -73.98196294)",2016
33,LINK-021194,Brooklyn,40.68065,-73.974375,Live,2018-01-08,2017-08-31,Prospect Heights,3016100.0,SE,"(40.68064989, -73.97437496)",2017
34,LINK-013521,Queens,40.720245,-73.844644,Live,2017-03-09,2017-02-25,Forest Hills,4073700.0,NE,"(40.72024516, -73.8446443)",2017
35,LINK-013881,Manhattan,40.762328,-73.993642,Live,2018-03-19,2017-10-07,Clinton,1012900.0,NW,"(40.76232841, -73.99364234)",2017
36,LINK-007085,Manhattan,40.774266,-73.98095,Live,2016-10-07,2016-08-19,Lincoln Square,1015300.0,NE,"(40.77426628, -73.98094971)",2016
37,LINK-000280,Manhattan,40.742433,-73.980371,Live,2017-08-03,2017-06-24,Murray Hill-Kips Bay,1006600.0,SE,"(40.742433, -73.980371)",2017
38,LINK-011599,Queens,40.761913,-73.910939,Live,2017-06-26,2017-05-06,Astoria,4015100.0,SE,"(40.76191296, -73.91093862)",2017
39,LINK-000954,Manhattan,40.780819,-73.981571,Live,2017-11-01,2017-09-25,Upper West Side,1016300.0,S,"(40.78081899, -73.98157091)",2017
40,LINK-001495,Manhattan,40.791943,-73.973425,Live,2016-07-07,2016-05-27,Upper West Side,1017900.0,SE,"(40.791943, -73.973425)",2016
41,LINK-020490,Manhattan,40.78535,-73.973137,Live,2018-05-01,2018-02-08,Upper West Side,1016900.0,NW,"(40.7853501, -73.97313741)",2018
42,LINK-000189,Manhattan,40.734141,-73.989412,Live,2016-11-10,2016-10-22,East Village,1004200.0,SE,"(40.73414056, -73.98941209)",2016
43,LINK-018218,Bronx,40.810159,-73.927886,Live,2018-02-22,2017-08-31,Mott Haven-Port Morris,2005100.0,NW,"(40.81015856, -73.92788597)",2017
44,LINK-008202,Manhattan,40.726889,-74.007487,Live,2017-04-10,2017-01-28,SoHo-TriBeCa-Civic Center-Little Italy,1003700.0,NW,"(40.726889, -74.007487)",2017
45,LINK-000900,Manhattan,40.791282,-73.944218,Live,2016-03-22,2016-03-02,East Harlem South,1017000.0,SE,"(40.7912824, -73.94421805)",2016
46,LINK-021680,Queens,40.73968,-73.92207,Live,2018-03-15,2017-10-14,Hunters Point-Sunnyside-West Maspeth,4018502.0,NE,"(40.73968025, -73.92206966)",2017
47,LINK-007300,Manhattan,40.748673,-73.973326,Live,2018-04-04,2017-11-04,Turtle Bay-East Midtown,1008800.0,NW,"(40.74867273, -73.97332638)",2017
48,LINK-005578,Bronx,40.8681,-73.900706,Live,2018-01-22,2017-09-16,Kingsbridge Heights,2026500.0,SE,"(40.86810029, -73.90070588)",2017
49,LINK-018146,Queens,40.739393,-73.892498,Live,2017-03-20,2017-02-25,Elmhurst-Maspeth,4048900.0,SW,"(40.739393, -73.892498)",2017
50,LINK-010696,Manhattan,40.78241,-73.979,Live,2020-09-14,2018-02-17,Upper West Side,1016300.0,SW,"(40.78240982, -73.97899987)",2018
51,LINK-001498,Manhattan,40.792696,-73.973438,Live,2018-03-15,2017-11-22,Upper West Side,1017900.0,SW,"(40.79269555, -73.97343761)",2017
52,LINK-000886,Manhattan,40.780782,-73.9524,Live,2016-03-28,2016-03-19,Yorkville,1015400.0,NE,"(40.780782, -73.9524)",2016
54,LINK-014014,Manhattan,40.731539,-73.983246,Live,2016-12-16,2016-10-16,East Village,1004000.0,SW,"(40.73153857, -73.98324565)",2016
55,LINK-000310,Manhattan,40.748914,-73.975648,Live,2016-03-07,2016-02-06,Turtle Bay-East Midtown,1008800.0,NE,"(40.748914, -73.975648)",2016
56,LINK-010745,Manhattan,40.768374,-73.955362,Live,2018-01-03,2017-10-16,Lenox Hill-Roosevelt Island,1012400.0,SE,"(40.76837393, -73.95536175)",2017
57,LINK-013920,Manhattan,40.760474,-73.976099,Live,2017-10-20,2016-10-29,Midtown-Midtown South,1010400.0,SW,"(40.76047373, -73.97609914)",2016
58,LINK-018400,Bronx,40.863665,-73.900512,Live,2017-06-13,2017-05-10,Kingsbridge Heights,2026500.0,MIDBLOCK,"(40.86366546, -73.90051187)",2017
59,LINK-000221,Manhattan,40.739432,-73.995475,Live,2018-04-05,2018-02-04,Hudson Yards-Chelsea-Flatiron-Union Square,1008100.0,NW,"(40.73943218, -73.99547509)",2018
60,LINK-018373,Manhattan,40.798786,-73.939765,Live,2018-03-06,2017-11-11,East Harlem North,1018200.0,NW,"(40.79878582, -73.93976524)",2017
61,LINK-020565,Bronx,40.812127,-73.920552,Live,2018-04-19,2017-12-12,Mott Haven-Port Morris,2004100.0,SE,"(40.81212659, -73.9205525)",2017
63,LINK-011303,Manhattan,40.848673,-73.93407,Live,2018-04-19,2017-12-05,Washington Heights North,1026900.0,NE,"(40.84867304, -73.9340696)",2017
64,LINK-011663,Bronx,40.861174,-73.896444,Live,2017-04-18,2017-01-25,Bedford Park-Fordham North,2023702.0,NW,"(40.86117438, -73.89644355)",2017
65,LINK-000650,Manhattan,40.745591,-73.979997,Live,2019-02-01,2018-05-17,Murray Hill-Kips Bay,1007200.0,SE,"(40.74559121, -73.9799974)",2018
66,LINK-000044,Brooklyn,40.683625,-73.977006,Live,2017-07-25,2017-06-30,Park Slope-Gowanus,3012901.0,SE,"(40.683625, -73.977006)",2017
67,LINK-010956,Manhattan,40.832749,-73.941887,Live,2017-05-11,2017-01-29,Washington Heights South,1023900.0,SE,"(40.83274898, -73.94188652)",2017
68,LINK-013709,Manhattan,40.747251,-73.974241,Live,2018-05-17,2018-03-18,Murray Hill-Kips Bay,1007800.0,SW,"(40.74725106, -73.97424149)",2018
69,LINK-020928,Queens,40.752724,-73.927183,Live,2018-04-24,2018-03-09,Queensbridge-Ravenswood-Long Island City,4005500.0,SE,"(40.752724, -73.927183)",2018
70,LINK-001356,Queens,40.751953,-73.927493,Live,2018-04-09,2018-03-09,Hunters Point-Sunnyside-West Maspeth,4017100.0,SE,"(40.751953, -73.927493)",2018
71,LINK-021920,Brooklyn,40.683821,-73.87138,Live,2017-12-07,2017-09-29,Cypress Hills-City Line,3118400.0,MIDBLOCK,"(40.68382059, -73.87137973)",2017
72,LINK-011510,Brooklyn,40.702936,-73.942563,Live,2017-05-23,2017-04-28,East Williamsburg,3049100.0,SW,"(40.702936, -73.942563)",2017
73,LINK-005426,Bronx,40.827552,-73.925903,Live,2016-09-13,2016-08-13,West Concourse,2006300.0,SE,"(40.82755199, -73.92590252)",2016
74,LINK-010682,Manhattan,40.789541,-73.969644,Live,2020-11-10,2018-05-07,Upper West Side,1017700.0,SE,"(40.7895412, -73.96964431)",2018
75,LINK-010173,Manhattan,40.762468,-73.974732,Live,2017-03-28,2016-10-29,Midtown-Midtown South,1011201.0,NW,"(40.76246755, -73.97473228)",2016
76,LINK-012975,Queens,40.74218,-73.918733,Live,2017-03-09,2017-02-25,Hunters Point-Sunnyside-West Maspeth,4023500.0,SE,"(40.74218025, -73.91873252)",2017
77,LINK-004809,Manhattan,40.800504,-73.966107,Live,2018-06-05,2017-12-12,Upper West Side,1019100.0,SW,"(40.80050433, -73.96610661)",2017
78,LINK-012560,Manhattan,40.723404,-74.008084,Live,2017-11-15,2017-08-05,SoHo-TriBeCa-Civic Center-Little Italy,1003900.0,SW,"(40.72340371, -74.00808439)",2017
79,LINK-001749,Staten Island,40.576541,-74.103479,Live,2018-07-19,2018-07-12,New Dorp-Midland Beach,5011202.0,SE,"(40.576541, -74.103479)",2018
80,LINK-022141,Brooklyn,40.648689,-73.955962,Live,2017-10-12,2017-09-17,Erasmus,3079400.0,NW,"(40.64868919, -73.95596197)",2017
81,LINK-000867,Manhattan,40.77703,-73.955138,Live,2016-03-30,2016-03-02,Yorkville,1013800.0,NE,"(40.77703019, -73.95513841)",2016
82,LINK-010320,Manhattan,40.769567,-73.988099,Live,2018-02-08,2017-11-04,Clinton,1013900.0,SE,"(40.76956734, -73.98809867)",2017
